master_metadata_track_name,master_metadata_album_artist_name,spotify_track_uri,track_artist,track_listen_count,popularity,genre,track_uri,mean_bar_duration,mean_pitches,mean_max_loudness,mean_timbre,mean_tatums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Fukk Sleep (feat. FKA twigs),A$AP Rocky,spotify:track:1AqemxWsT0iGg5Lvkm16Bt,Fukk Sleep (feat. FKA twigs) - A$AP Rocky,171,1,east coast hip hop,1AqemxWsT0iGg5Lvkm16Bt,1.7550499074074073,0.3380243690165361,-11.820493472584856,-5.375247062663185,0.2209628110599078,0.798,0.412,2.0,-9.305,1.0,0.36,0.443,7.43e-05,0.219,0.304,135.959,audio_features,1AqemxWsT0iGg5Lvkm16Bt,spotify:track:1AqemxWsT0iGg5Lvkm16Bt,https://api.spotify.com/v1/tracks/1AqemxWsT0iGg5Lvkm16Bt,https://api.spotify.com/v1/audio-analysis/1AqemxWsT0iGg5Lvkm16Bt,192973.0,4.0
Biladerim İçin,Ben Fero,spotify:track:3VC7KLsQnwLdKHRu7J6XBP,Biladerim İçin - Ben Fero,97,1,turkce drill,3VC7KLsQnwLdKHRu7J6XBP,1.9409396666666667,0.3605868815896189,-6.838901459854013,1.100322891321979,0.24400155555555555,0.928,0.646,1.0,-6.675,1.0,0.211,0.0449,0.0,0.19,0.315,123.061,audio_features,3VC7KLsQnwLdKHRu7J6XBP,spotify:track:3VC7KLsQnwLdKHRu7J6XBP,https://api.spotify.com/v1/tracks/3VC7KLsQnwLdKHRu7J6XBP,https://api.spotify.com/v1/audio-analysis/3VC7KLsQnwLdKHRu7J6XBP,177861.0,4.0
Demet Akalın,Ben Fero,spotify:track:3kyGlb9iNqhKJsS2WVNyzH,Demet Akalın - Ben Fero,61,1,turkce drill,3kyGlb9iNqhKJsS2WVNyzH,1.7536590082644627,0.3759744195198741,-4.593131050767415,3.048702774498229,0.22057246887966803,0.943,0.846,2.0,-4.025,1.0,0.212,0.0889,0.0,0.113,0.699,136.093,audio_features,3kyGlb9iNqhKJsS2WVNyzH,spotify:track:3kyGlb9iNqhKJsS2WVNyzH,https://api.spotify.com/v1/tracks/3kyGlb9iNqhKJsS2WVNyzH,https://api.spotify.com/v1/audio-analysis/3kyGlb9iNqhKJsS2WVNyzH,213841.0,4.0
Down By The Water,PJ Harvey,spotify:track:48mJX8glOrQkrSdVBjc0Wb,Down By The Water - PJ Harvey,64,1,alternative rock,48mJX8glOrQkrSdVBjc0Wb,1.9028374747474746,0.3579953703703704,-12.195046666666668,3.1853069444444446,0.23970306329113925,0.623,0.622,2.0,-12.255,1.0,0.0412,0.00168,0.181,0.343,0.319,125.166,audio_features,48mJX8glOrQkrSdVBjc0Wb,spotify:track:48mJX8glOrQkrSdVBjc0Wb,https://api.spotify.com/v1/tracks/48mJX8glOrQkrSdVBjc0Wb,https://api.spotify.com/v1/audio-analysis/48mJX8glOrQkrSdVBjc0Wb,194507.0,4.0
I Miss You,Björk,spotify:track:5L18d6jJ94EYTu1FG1peY0,I Miss You - Björk,90,1,art pop,5L18d6jJ94EYTu1FG1peY0,1.9573085123966942,0.46042421519290677,-12.163542056074768,3.457608674814282,0.2482505625,0.636,0.765,2.0,-10.658,0.0,0.0385,0.0237,0.462,0.0201,0.111,120.93,audio_features,5L18d6jJ94EYTu1FG1peY0,spotify:track:5L18d6jJ94EYTu1FG1peY0,https://api.spotify.com/v1/tracks/5L18d6jJ94EYTu1FG1peY0,https://api.spotify.com/v1/audio-analysis/5L18d6jJ94EYTu1FG1peY0,243800.0,4.0
Angela Merkel,Xir,spotify:track:2Sk9SpqMFD6HGHEtGpFLoV,Angela Merkel - Xir,46,1,australian electropop,2Sk9SpqMFD6HGHEtGpFLoV,1.6988352409638556,0.32136689376734795,-10.451922028766088,6.520779964673228,0.21429585476550683,0.713,0.64,7.0,-8.972,1.0,0.277,0.0714,0.000273,0.077,0.284,139.934,audio_features,2Sk9SpqMFD6HGHEtGpFLoV,spotify:track:2Sk9SpqMFD6HGHEtGpFLoV,https://api.spotify.com/v1/tracks/2Sk9SpqMFD6HGHEtGpFLoV,https://api.spotify.com/v1/audio-analysis/2Sk9SpqMFD6HGHEtGpFLoV,287052.0,4.0
Kime Ne,Khontkar,spotify:track:2HomWdJV2msBL9XvAnUgiB,Kime Ne - Khontkar,161,1,turkish hip hop,2HomWdJV2msBL9XvAnUgiB,1.4955135256410257,0.2549498153742867,-7.323657603222558,4.765257888553206,0.187262224,0.804,0.531,2.0,-6.255,1.0,0.124,0.0796,2.58e-06,0.138,0.0569,160.204,audio_features,2HomWdJV2msBL9XvAnUgiB,spotify:track:2HomWdJV2msBL9XvAnUgiB,https://api.spotify.com/v1/tracks/2HomWdJV2msBL9XvAnUgiB,https://api.spotify.com/v1/audio-analysis/2HomWdJV2msBL9XvAnUgiB,240375.0,4.0
Breathe,CamelPhat,spotify:track:6TR0FGw4zhlGbQALN065AI,Breathe - CamelPhat,151,1,deep tech house,6TR0FGw4zhlGbQALN065AI,1.9045181000000002,0.4010527720385675,-8.433110537190084,1.3097155647382916,0.24038374064837909,0.595,0.877,9.0,-7.414,0.0,0.0442,0.00646,0.0879,0.398,0.081,125.015,audio_features,6TR0FGw4zhlGbQALN065AI,spotify:track:6TR0FGw4zhlGbQALN065AI,https://api.spotify.com/v1/tracks/6TR0FGw4zhlGbQALN065AI,https://api.spotify.com/v1/audio-analysis/6TR0FGw4zhlGbQALN065AI,194233.0,4.0
Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,Panic! At The Disco,spotify:track:5eB7w8UZJKjL5XmnC6Pctg,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off - Panic! At The Disco,160,1,modern rock,5eB7w8UZJKjL5XmnC6Pctg,1.9116189423076924,0.3577189873417721,-7.533146835443038,5.402568459915611,0.23789935714285715,0.66,0.8,8.0,-4.644,1.0,0.0992,0.106,0.0,0.154,0.476,125.966,audio_features,5eB7w8UZJKjL5XmnC6Pctg,spotify:track:5eB7w8UZJKjL5XmnC6Pctg,https://api.spotify.com/v1/tracks/5eB7w8UZJKjL5XmnC6Pctg,https://api.spotify.com/v1/audio-analysis/5eB7w8UZJKjL5XmnC6Pctg,200227.0,4.0
HEPSİNE NE FENA,Büyük Ev Ablukada,spotify:track:72UMOAfc73lO9ci7Fzl66X,HEPSİNE NE FENA - Büyük Ev Ablukada,89,1,turkish alternative rock,72UMOAfc73lO9ci7Fzl66X,2.09965306122449,0.3674730392156863,-14.366905405405404,-2.900449390567038,0.26112800335570474,0.687,0.504,1.0,-12.24,0.0,0.04,0.0174,0.00103,0.193,0.501,114.949,audio_features,72UMOAfc73lO9ci7Fzl66X,spotify:track:72UMOAfc73lO9ci7Fzl66X,https://api.spotify.com/v1/tracks/72UMOAfc73lO9ci7Fzl66X,https://api.spotify.com/v1/audio-analysis/72UMOAfc73lO9ci7Fzl66X,312229.0,4.0
Banane,EDIS,spotify:track:2kC06in2U6pIxAAx6B2TCi,Banane - EDIS,49,1,,2kC06in2U6pIxAAx6B2TCi,1.8748550000000002,0.39768,-8.532131707317072,3.1511417073170738,0.23429618448637318,0.724,0.772,11.0,-7.594,0.0,0.0866,0.0718,2.92e-05,0.623,0.624,128.033,audio_features,2kC06in2U6pIxAAx6B2TCi,spotify:track:2kC06in2U6pIxAAx6B2TCi,https://api.spotify.com/v1/tracks/2kC06in2U6pIxAAx6B2TCi,https://api.spotify.com/v1/audio-analysis/2kC06in2U6pIxAAx6B2TCi,226105.0,4.0
"thank u, next",Ariana Grande,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next - Ariana Grande",46,1,pop,3e9HZxeyfWwjeyPAMmWSSQ,2.2367413186813185,0.3250486842105263,-7.26823552631579,4.54536798245614,0.2803830163043478,0.717,0.653,1.0,-5.634,1.0,0.0658,0.229,0.0,0.101,0.412,106.966,audio_features,3e9HZxeyfWwjeyPAMmWSSQ,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/tracks/3e9HZxeyfWwjeyPAMmWSSQ,https://api.spotify.com/v1/audio-analysis/3e9HZxeyfWwjeyPAMmWSSQ,207320.0,4.0
Küvet,Ezhel,spotify:track:1anxoJyGm5QOWpPtDkXIfc,Küvet - Ezhel,42,1,turkish hip hop,1anxoJyGm5QOWpPtDkXIfc,1.8331596874999998,0.35605903583397785,-10.347738592420727,-1.6302483887599895,0.23093480438184663,0.855,0.58,1.0,-8.925,0.0,0.117,0.647,0.000402,0.11,0.391,129.917,audio_features,1anxoJyGm5QOWpPtDkXIfc,spotify:track:1anxoJyGm5QOWpPtDkXIfc,https://api.spotify.com/v1/tracks/1anxoJyGm5QOWpPtDkXIfc,https://api.spotify.com/v1/audio-analysis/1anxoJyGm5QOWpPtDkXIfc,299091.0,4.0
Alo,Ezhel,spotify:track:3hdXIz9eY9u5QoEUkBs5yN,Alo - Ezhel,37,1,turkish hip hop,3hdXIz9eY9u5QoEUkBs5yN,1.7075845,0.3762950671019224,-10.559344940152338,3.5394576532462825,0.21432172916666664,0.796,0.57,4.0,-8.314,0.0,0.208,0.529,0.0249,0.116,0.551,140.035,audio_features,3hdXIz9eY9u5QoEUkBs5yN,spotify:track:3hdXIz9eY9u5QoEUkBs5yN,https://api.spotify.com/v1/tracks/3hdXIz9eY9u5QoEUkBs5yN,https://api.spotify.com/v1/audio-analysis/3hdXIz9eY9u5QoEUkBs5yN,207009.0,4.0
Kalbe Ben,Ayse Hatun Onal,spotify:track:55WfgDU5Ntu0vjNqtYiGlS,Kalbe Ben - Ayse Hatun Onal,129,1,turkish pop,55WfgDU5Ntu0vjNqtYiGlS,1.9237610370370366,0.4194327718676123,-12.947866134751772,3.991563829787234,0.2418235064935065,0.652,0.783,0.0,-12.823,1.0,0.0356,0.0099,0.0182,0.103,0.215,124.001,audio_features,55WfgDU5Ntu0vjNqtYiGlS,spotify:track:55WfgDU5Ntu0vjNqtYiGlS,https://api.spotify.com/v1/tracks/55WfgDU5Ntu0vjNqtYiGlS,https://api.spotify.com/v1/audio-analysis/55WfgDU5Ntu0vjNqtYiGlS,272120.0,4.0
Disenchanted,My Chemical Romance,spotify:track:6T7MAQCekVb3UnCykjX3BP,Disenchanted - My Chemical Romance,83,1,emo,6T7MAQCekVb3UnCykjX3BP,1.377620904761905,0.2907699228791774,-5.158044987146529,3.7661405312767773,0.17267232461355528,0.343,0.692,2.0,-3.926,1.0,0.0355,0.00218,0.0,0.112,0.153,174.07,audio_features,6T7MAQCekVb3UnCykjX3BP,spotify:track:6T7MAQCekVb3UnCykjX3BP,https://api.spotify.com/v1/tracks/6T7MAQCekVb3UnCykjX3BP,https://api.spotify.com/v1/audio-analysis/6T7MAQCekVb3UnCykjX3BP,295000.0,4.0
Self Esteem,The Offspring,spotify:track:6EsBn1Md8C5YdbCzvwvZq8,Self Esteem - The Offspring,158,1,alternative metal,6EsBn1Md8C5YdbCzvwvZq8,2.271726607142857,0.4004869020501139,-3.5135330296127556,10.242890375854213,0.28466512249443204,0.458,0.912,5.0,-3.666,1.0,0.0618,0.0173,0.0,0.363,0.611,104.522,audio_features,6EsBn1Md8C5YdbCzvwvZq8,spotify:track:6EsBn1Md8C5YdbCzvwvZq8,https://api.spotify.com/v1/tracks/6EsBn1Md8C5YdbCzvwvZq8,https://api.spotify.com/v1/audio-analysis/6EsBn1Md8C5YdbCzvwvZq8,257760.0,4.0
I'm Not Alone - CamelPhat Remix,Calvin Harris,spotify:track:0kDIirlQCy6YnmsK5pZ6PZ,I'm Not Alone - CamelPhat Remix - Calvin Harris,122,1,dance pop,0kDIirlQCy6YnmsK5pZ6PZ,1.455071265060241,0.41759852905421835,-7.503037199124727,0.3493073182591781,0.2437184708249497,0.575,0.969,1.0,-6.741,0.0,0.0425,0.0105,0.683,0.118,0.0368,122.998,audio_features,0kDIirlQCy6YnmsK5pZ6PZ,spotify:track:0kDIirlQCy6YnmsK5pZ6PZ,https://api.spotify.com/v1/tracks/0kDIirlQCy6YnmsK5pZ6PZ,https://api.spotify.com/v1/audio-analysis/0kDIirlQCy6YnmsK5pZ6PZ,244146.0,3.0
Hayır,Ezhel,spotify:track:5CSd3cUlH0b55LSHsqz34g,Hayır - Ezhel,52,1,turkish hip hop,5CSd3cUlH0b55LSHsqz34g,1.928862702702703,0.38132969034608377,-10.871254644808744,-1.0702936247723132,0.24005560267857143,0.841,0.604,6.0,-9.52,1.0,0.202,0.253,0.00598,0.122,0.32,124.967,audio_features,5CSd3cUlH0b55LSHsqz34g,spotify:track:5CSd3cUlH0b55LSHsqz34g,https://api.spotify.com/v1/tracks/5CSd3cUlH0b55LSHsqz34g,https://api.spotify.com/v1/audio-analysis/5CSd3cUlH0b55LSHsqz34g,216010.0,4.0
İyi Bil,Ezhel,spotify:track:6Sg9kVAVm4Xn6MVh2mYNMd,İyi Bil - Ezhel,38,1,turkish hip hop,6Sg9kVAVm4Xn6MVh2mYNMd,2.090407857142857,0.3180514203523912,-10.15861380798274,2.1156854548723483,0.3456696166666667,0.504,0.556,4.0,-8.418,0.0,0.287,0.761,0.000181,0.0769,0.321,87.242,audio_features,6Sg9kVAVm4Xn6MVh2mYNMd,spotify:track:6Sg9kVAVm4Xn6MVh2mYNMd,https://api.spotify.com/v1/tracks/6Sg9kVAVm4Xn6MVh2mYNMd,https://api.spotify.com/v1/audio-analysis/6Sg9kVAVm4Xn6MVh2mYNMd,210010.0,3.0
Nefret,Ezhel,spotify:track:3vWE70Fde8F97cIkSGiMt0,Nefret - Ezhel,141,1,turkish hip hop,3vWE70Fde8F97cIkSGiMt0,2.303375731707317,0.36296184371184376,-9.130041514041514,3.3281612739112743,0.2879981212121212,0.757,0.653,2.0,-7.274,1.0,0.1,0.199,0.000157,0.123,0.393,104.101,audio_features,3vWE70Fde8F97cIkSGiMt0,spotify:track:3vWE70Fde8F97cIkSGiMt0,https://api.spotify.com/v1/tracks/3vWE70Fde8F97cIkSGiMt0,https://api.spotify.com/v1/audio-analysis/3vWE70Fde8F97cIkSGiMt0,190790.0,4.0
Comme un animal,Mabel Matiz,spotify:track:6bxDpeikBvGKZoH4TuVWN4,Comme un animal - Mabel Matiz,113,1,turkish pop,6bxDpeikBvGKZoH4TuVWN4,1.9972692307692306,0.35838290229885056,-7.575058620689655,9.316998419540232,0.25212858800773696,0.681,0.806,2.0,-6.734,0.0,0.0334,0.129,4.52e-05,0.0824,0.66,118.999,audio_features,6bxDpeikBvGKZoH4TuVWN4,spotify:track:6bxDpeikBvGKZoH4TuVWN4,https://api.spotify.com/v1/tracks/6bxDpeikBvGKZoH4TuVWN4,https://api.spotify.com/v1/audio-analysis/6bxDpeikBvGKZoH4TuVWN4,266326.0,4.0
Helena,My Chemical Romance,spotify:track:5dTHtzHFPyi8TlTtzoz1J9,Helena - My Chemical Romance,130,1,emo,5dTHtzHFPyi8TlTtzoz1J9,1.8808517307692307,0.40888318965517245,-3.803905172413794,9.027755747126436,0.23797486682808716,0.356,0.96,4.0,-3.487,1.0,0.104,0.0142,0.0,0.209,0.0857,125.921,audio_features,5dTHtzHFPyi8TlTtzoz1J9,spotify:track:5dTHtzHFPyi8TlTtzoz1J9,https://api.spotify.com/v1/tracks/5dTHtzHFPyi8TlTtzoz1J9,https://api.spotify.com/v1/audio-analysis/5dTHtzHFPyi8TlTtzoz1J9,204733.0,4.0
Bet (feat. Skepta & Michael Phantom),Octavian,spotify:track:1TULEHv0wpIZYI7zqmhzEg,Bet (feat. Skepta & Michael Phantom) - Octavian,126,1,afroswing,1TULEHv0wpIZYI7zqmhzEg,3.0937079245283012,0.36335964912280705,-9.224817042606517,3.1545875104427736,0.38379423255813955,0.855,0.594,8.0,-8.652,0.0,0.489,0.00128,3.43e-05,0.145,0.834,78.079,audio_features,1TULEHv0wpIZYI7zqmhzEg,spotify:track:1TULEHv0wpIZYI7zqmhzEg,https://api.spotify.com/v1/tracks/1TULEHv0wpIZYI7zqmhzEg,https://api.spotify.com/v1/audio-analysis/1TULEHv0wpIZYI7zqmhzEg,166144.0,4.0
